"TRAIT","TYPE","CODE","PC1","PC2","PC3","PC4","PC5"
"Yield","GEN","G1",-0.0973196073416235,-0.0144097473260673,0.206019863053888,-0.0905445431335469,0.0119758943017304
"Yield","GEN","G10",0.117220128475957,0.222957301953325,0.0531872590729112,-0.116586724322632,-0.0746666987842683
"Yield","GEN","G2",0.0572256318706605,0.113008415363531,0.0116480796803901,-0.153850223417958,0.151502404573962
"Yield","GEN","G3",-0.216423829350596,0.160019094030954,0.041798585947656,0.207199071650096,-0.093102399815324
"Yield","GEN","G4",0.213717546986289,0.012812357123821,-0.080384921436534,0.181825377778654,-0.120935248692096
"Yield","GEN","G5",-0.0463327912353261,-0.0422027814080207,-0.165251504243317,0.0353441516570772,0.18854807128848
"Yield","GEN","G6",0.034574523027771,-0.0256660229203899,-0.0167803886388299,0.11253080100821,0.206389467629452
"Yield","GEN","G7",-0.120726539004195,-0.055013079613843,-0.248319598880251,-0.165347902547298,-0.156192598630266
"Yield","GEN","G8",0.139413110590717,-0.181379225825387,0.0834972900044352,-0.0155487680483699,-0.0885412951981665
"Yield","GEN","G9",-0.0813481740196543,-0.190126311377924,0.114585335439652,0.0049787593757676,-0.0249775966735031
"Yield","ENV","E1",1.89304654907067,0.270963600334115,-0.0871579523250672,-0.329468654875889,0.0305291836433563
"Yield","ENV","E2",2.10624139897625,0.0831691040276402,0.336393845992806,0.0398447503364545,-0.276028527766967
"Yield","ENV","E3",2.11936740384052,-0.266609731144345,-0.613301748298284,0.0687825496711778,-0.0759562138456682
"Yield","ENV","E4",2.32318792540755,-0.569421749309056,0.309944244596412,-0.00942586051513398,0.150088490717472
"Yield","ENV","E5",2.24585575721297,0.534227001794241,0.0161276713482827,0.185185262999508,0.149557646356704
